Item name,Qty needed,Qty per pack,Packs to buy,Price per pack,Price,Link,Purpose,Note
"""Loctite"" 609",1,1,1,$3.93,$3.93,https://www.aliexpress.com/item/3256807801475731.html?spm=a2g0o.cart.0.0.4ced38daAzxxxF&mp=1&pdp_npi=6%40dis%21USD%21USD%208.18%21USD%203.93%21%21USD%203.85%21%21%21%402103212517796651246383112e96e4%2112000043169462545%21ct%21US%216384082601%21%211%210%21,Axially constraining bearings,This is a sketchy offbrand.
M2 tap,1,1,1,$4.24,$4.24,https://www.aliexpress.us/item/3256805979008585.html?spm=a2g0o.productlist.main.1.7fa13v5t3v5t8D&algo_pvid=93597d28-ed31-4049-ab82-89a9ce880a31&algo_exp_id=93597d28-ed31-4049-ab82-89a9ce880a31-0&pdp_ext_f=%7B%22order%22%3A%2212414%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%214.28%210.99%21%21%214.28%210.99%21%40210328c017792288245953977e3aa1%2112000036067246528%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A725973a5%3Bm03_new_user%3A-29895%3BpisId%3A5000000203533262&curPageLogUid=5dpOO7lTyMQf&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006165323337%7C_p_origin_prod%3A,Tap the carrier,
M3 tap,1,1,1,$3.85,$3.85,https://www.aliexpress.us/item/3256805979008585.html?spm=a2g0o.productlist.main.1.7fa13v5t3v5t8D&algo_pvid=93597d28-ed31-4049-ab82-89a9ce880a31&algo_exp_id=93597d28-ed31-4049-ab82-89a9ce880a31-0&pdp_ext_f=%7B%22order%22%3A%2212414%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%214.28%210.99%21%21%214.28%210.99%21%40210328c017792288245953977e3aa1%2112000036067246528%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A725973a5%3Bm03_new_user%3A-29895%3BpisId%3A5000000203533262&curPageLogUid=5dpOO7lTyMQf&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006165323337%7C_p_origin_prod%3A,Tap top plate,
Deburrer+hand countersinker,1,1,1,$5.13,$5.13,https://www.aliexpress.us/item/3256808960918414.html?spm=a2g0o.detail.similar_items.19.88ceXLhHXLhHJi&utparam-url=scene%3Aimage_search%7Cquery_from%3Aapp_pdp_sold_out%7Cx_object_id%3A1005009147233166%7C_p_origin_prod%3A&algo_pvid=c970f25b-9c14-4313-beb2-3cf8711aeb5a&algo_exp_id=c970f25b-9c14-4313-beb2-3cf8711aeb5a&pdp_ext_f=%7B%22order%22%3A%2216%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2110.26%215.13%21%21%2169.42%2134.71%21%402101c42117796477120625062d01d5%2112000048229103322%21sea%21US%216384082601%21X%211%210%21n_tag%3A-29919%3Bd%3A725973a5%3Bm03_new_user%3A-29895&gatewayAdapt=4itemAdapt,Finish parts,
Undersize 2x12mm steel dowel pins,8,9,1,$2.00,$2.88,https://jlcmc.com/product/s/F02/FDWN/positioning-pin-straight-rod-h7?k=FDWN-S6-D2-L12&productModelNumber=FDWN-S6-D2-L12,Carrier pins,
Undersize 2x15mm steel dowel pins,15,16,1,$5.25,$4.53,https://jlcmc.com/product/s/F02/FDWN/positioning-pin-straight-rod-h7?k=FDWN-S6-D2-L12&productModelNumber=FDWN-S6-D2-L15,Outer ring,technically it should be 16mm long but its lowk ok
3x8mm steel dowel pins,4,20,1,$1.80,$1.80,https://www.aliexpress.us/item/3256806837028480.html?spm=a2g0o.productlist.main.1.3c9a4Iqf4Iqf60&algo_pvid=2c131f15-e86d-4315-8ef8-737365cac4f4&algo_exp_id=2c131f15-e86d-4315-8ef8-737365cac4f4-0&pdp_ext_f=%7B%22order%22%3A%229887%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.06%212.69%21%21%2120.67%2118.18%21%402103122117792288808793023e2f19%2112000039112864736%21sea%21US%216384082601%21X%211%210%21n_tag%3A-29919%3Bd%3A725973a5%3Bm03_new_user%3A-29895%3BpisId%3A5000000207267837&curPageLogUid=OUuk5EDyAaQR&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007023343232%7C_p_origin_prod%3A,Connect output to carrier,
2x4x2mm bearings (MR42),46,50,1,$11.09,$11.09,https://www.aliexpress.us/item/3256806668167344.html?gatewayAdapt=glo2usa4itemAdapt#nav-specification,Outer ring and carrier pins,They are actively changing my prices :(
Countersunk m3x16,8,50,1,$2.11,$2.11,https://www.aliexpress.us/item/2251832820627860.html?spm=a2g0o.productlist.main.6.7a481aa6zIsunz&algo_pvid=5f4bcd36-f377-4992-a4d3-4dc73e781d8a&algo_exp_id=5f4bcd36-f377-4992-a4d3-4dc73e781d8a-23&pdp_ext_f=%7B%22order%22%3A%2217718%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.29%211.26%21%21%211.29%211.26%21%40210328d417792296995892271e50e3%2167057749049%21sea%21US%216384082601%21X%211%210%21n_tag%3A-29919%3Bd%3A725973a5%3Bm03_new_user%3A-29895&curPageLogUid=mltyXj8AIAme&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A33006942612%7C_p_origin_prod%3A,full length structure,"Obviously, you don't need this many, and they don't have to be torx."
Countersunk m3x6,4,50,1,$1.57,$1.57,https://www.aliexpress.us/item/2251832820627860.html?spm=a2g0o.productlist.main.6.7a481aa6zIsunz&algo_pvid=5f4bcd36-f377-4992-a4d3-4dc73e781d8a&algo_exp_id=5f4bcd36-f377-4992-a4d3-4dc73e781d8a-23&pdp_ext_f=%7B%22order%22%3A%2217718%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.29%211.26%21%21%211.29%211.26%21%40210328d417792296995892271e50e3%2167057749049%21sea%21US%216384082601%21X%211%210%21n_tag%3A-29919%3Bd%3A725973a5%3Bm03_new_user%3A-29895&curPageLogUid=mltyXj8AIAme&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A33006942612%7C_p_origin_prod%3A,baseplate to motor,
